CWE,CWE Count,EPSS
NVD-CWE-Other,27863,0.97559
NVD-CWE-noinfo,22149,0.97563
CWE-79,21337,0.97508
CWE-119,11397,0.97527
CWE-89,9061,0.97564
CWE-20,8950,0.97578
CWE-787,7667,0.97495
CWE-200,6694,0.97569
CWE-264,5271,0.97536
CWE-22,4968,0.97567
CWE-125,4709,0.97592
CWE-352,4173,0.97471
CWE-416,3121,0.97549
CWE-287,2892,0.9752
CWE-94,2864,0.9756
CWE-399,2545,0.97424
CWE-310,2461,0.9753
CWE-78,2456,0.97574
CWE-476,2010,0.97369
CWE-190,1766,0.97336
CWE-120,1570,0.97441
CWE-434,1474,0.97506
CWE-269,1453,0.97536
CWE-77,1244,0.97524
CWE-862,1243,0.97339
CWE-863,1223,0.9733
CWE-189,1218,0.97456
CWE-362,1216,0.97464
CWE-400,1206,0.97479
CWE-284,984,0.97499
CWE-732,981,0.97345
CWE-798,951,0.97445
CWE-59,898,0.9374
CWE-502,889,0.97546
CWE-611,832,0.97534
CWE-295,815,0.97182
CWE-306,782,0.97486
CWE-276,739,0.97449
CWE-255,732,0.97501
CWE-522,730,0.93277
CWE-918,727,0.97538
CWE-601,711,0.97477
CWE-74,706,0.97556
CWE-668,667,0.95096
CWE-770,508,0.97434
CWE-427,502,0.91818
CWE-532,488,0.84001
CWE-835,452,0.96788
CWE-401,445,0.94462
CWE-319,423,0.72284
CWE-426,391,0.97352
CWE-772,378,0.97267
CWE-415,376,0.96321
CWE-254,373,0.96141
CWE-312,364,0.17943
CWE-327,356,0.35706
CWE-617,354,0.97246
CWE-203,329,0.97546
CWE-755,327,0.96646
CWE-639,305,0.13589
CWE-347,300,0.78509
CWE-134,292,0.97007
CWE-326,278,0.97445
CWE-345,253,0.9386
CWE-16,253,0.97468
CWE-843,253,0.97357
CWE-369,246,0.04472
CWE-908,246,0.96782
CWE-129,241,0.89512
CWE-384,230,0.62937
CWE-209,226,0.97058
CWE-665,223,0.97491
CWE-1321,218,0.89298
CWE-754,218,0.42575
CWE-19,218,0.97216
CWE-1021,212,0.00879
CWE-613,212,0.09815
CWE-307,208,0.16311
CWE-330,208,0.9732
CWE-704,196,0.97284
CWE-121,195,0.97372
CWE-311,194,0.36096
CWE-404,187,0.9745
CWE-552,183,0.97461
CWE-674,179,0.8665
CWE-367,173,0.1615
CWE-346,168,0.23002
CWE-17,160,0.97421
CWE-1236,153,0.13796
CWE-444,152,0.96042
CWE-122,151,0.96709
CWE-290,148,0.97177
CWE-281,140,0.34308
CWE-917,139,0.97302
CWE-191,138,0.47097
CWE-88,136,0.96645
CWE-428,136,0.00222
CWE-824,133,0.96816
CWE-521,131,0.05046
CWE-1188,125,0.97134
CWE-640,119,0.97443
CWE-610,117,0.96583
CWE-116,108,0.97221
CWE-425,96,0.97346
CWE-922,96,0.97462
CWE-294,94,0.13026
CWE-285,80,0.89573
CWE-829,79,0.96913
CWE-459,73,0.72029
CWE-354,72,0.08074
CWE-682,70,0.02413
CWE-494,70,0.97084
CWE-91,68,0.97489
CWE-252,65,0.96768
CWE-338,64,0.52349
CWE-909,64,0.06421
CWE-697,63,0.86325
CWE-834,61,0.02258
CWE-667,61,0.29126
CWE-275,59,0.03618
CWE-916,57,0.17628
CWE-131,54,0.97111
CWE-693,53,0.64467
Missing_Data,53,0.00371
CWE-193,53,0.96974
CWE-763,51,0.07857
CWE-331,51,0.1197
CWE-670,51,0.01168
CWE-681,50,0.90325
CWE-706,40,0.97524
CWE-669,40,0.96566
CWE-776,38,0.01175
CWE-93,37,0.15358
CWE-1333,37,0.00295
CWE-788,36,0.05708
CWE-212,35,0.00715
CWE-436,35,0.94828
CWE-662,34,0.0061
CWE-388,33,0.68242
CWE-320,30,0.26604
CWE-565,30,0.03646
CWE-913,27,0.96812
CWE-358,25,0.04837
CWE-113,23,0.01461
CWE-672,22,0.00638
CWE-266,20,0.00521
CWE-335,20,0.25387
CWE-256,19,0.00661
CWE-273,18,0.12268
CWE-178,17,0.96672
CWE-250,16,0.00328
CWE-377,15,0.00332
CWE-288,14,0.00492
CWE-417,14,0.02371
CWE-123,14,0.03262
CWE-321,13,0.00947
CWE-126,13,0.00265
CWE-184,13,0.965
CWE-118,13,0.00553
